room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
13728220,1363,56317833,Entire home/apt,,Zurich,,Kreis 12,0,0.0,2,1.0,,127.0,,modern loft with private garden,2017-06-22 20:02:57.397914,47.408913,8.574054,0101000020E6100000A646E867EA25214062F4DC4257B44740
7997920,1363,16497804,Entire home/apt,,Zurich,,Kreis 7,0,0.0,4,2.0,,127.0,,Wohnung am Zürichberg,2017-06-22 20:02:57.393636,47.383437,8.566185,0101000020E6100000B6F81400E3212140C689AF7614B14740
15156589,1363,50348083,Entire home/apt,,Zurich,,Kreis 4,28,4.5,2,0.0,,127.0,,Swiss Star Center - Studio,2017-06-22 20:02:57.383916,47.377359,8.529282,0101000020E610000013B9E00CFE0E2140F6ECB94C4DB04740
7556200,1363,4922064,Entire home/apt,,Zurich,,Kreis 1,3,4.5,2,1.0,,136.0,,Bright Apartment in Historical Centre,2017-06-22 20:02:57.376017,47.373809,8.542736,0101000020E610000045B9347EE1152140A9F92AF9D8AF4740
18605571,1363,20436428,Entire home/apt,,Zurich,,Kreis 12,0,0.0,8,4.0,,140.0,,5.5-room appartment with rooftop terrace/jacuzzi,2017-06-22 20:02:57.373393,47.405797,8.588966,0101000020E610000070E998F38C2D21404FE8F527F1B34740
6442816,1363,12444393,Entire home/apt,,Zurich,,Kreis 2,2,0.0,4,2.0,,127.0,,2 bedroom lake view apartment,2017-06-22 20:02:57.370493,47.34231,8.534259,0101000020E6100000F52F49658A112140008C67D0D0AB4740
1880893,1363,1599948,Entire home/apt,,Zurich,,Kreis 7,7,4.0,2,1.0,,141.0,,Exclusive sunny penthouse at lake,2017-06-22 20:02:55.499616,47.368105,8.551156,0101000020E610000005FD851E311A21403E3F8C101EAF4740
3631629,1363,18306611,Entire home/apt,,Zurich,,Kreis 8,25,5.0,2,1.0,,126.0,,Seefeldstrasse flat by the lake,2017-06-22 20:02:55.487268,47.364666,8.548997,0101000020E6100000483481221619214048FB1F60ADAE4740
14396035,1363,51888942,Entire home/apt,,Zurich,,Kreis 2,0,0.0,4,2.0,,127.0,,Nice 2.5 flat in Zurich,2017-06-22 20:02:55.485007,47.326816,8.513296,0101000020E6100000D255BABBCE0621409FE74F1BD5A94740
12804946,1363,263540,Entire home/apt,,Zurich,,Kreis 2,2,0.0,5,3.0,,127.0,,Everything you need and a lake view,2017-06-22 20:02:55.469125,47.34863,8.531657,0101000020E61000000261A75835102140C63368E89FAC4740
1941072,1363,3607062,Entire home/apt,,Zurich,,Kreis 10,1,0.0,2,2.0,,143.0,,Special 2-room flat by the river,2017-06-22 20:02:54.279852,47.397235,8.503601,0101000020E61000003E7782FDD7012140CDE9B298D8B24740
15661635,1363,28993877,Entire home/apt,,Zurich,,Kreis 8,8,4.5,5,2.0,,127.0,,3 room/2 bedroom in trendy Seefeld,2017-06-22 20:02:54.271581,47.353389,8.558467,0101000020E61000005CCAF962EF1D214011E2CAD93BAD4740
9249366,1363,9104396,Entire home/apt,,Zurich,,Kreis 4,6,4.5,3,1.0,,133.0,,Fancy city center appartement,2017-06-22 20:02:54.257237,47.376735,8.530049,0101000020E6100000158E2095620F214018213CDA38B04740
19449226,1363,58818657,Entire home/apt,,Zurich,,Kreis 11,0,0.0,3,1.0,,134.0,,Roof Top Apartment,2017-06-22 20:02:54.254471,47.415681,8.544702,0101000020E6100000AF21382EE3162140C748F60835B54740
2579889,1363,12227344,Entire home/apt,,Zurich,,Kreis 3,213,4.5,6,2.0,,127.0,,Mi Casa es su Casa,2017-06-22 20:02:54.244679,47.363474,8.517493,0101000020E61000005FD1ADD7F40821402079E75086AE4740
17277371,1363,106846577,Entire home/apt,,Zurich,,Kreis 11,0,0.0,2,0.0,,137.0,,Penthouse Studio with large sunny terrace.,2017-06-22 20:02:48.708615,47.406533,8.540152,0101000020E6100000EDBC8DCD8E14214055DFF94509B44740
18594233,1363,45970695,Entire home/apt,,Zurich,,Kreis 3,0,0.0,5,2.0,,137.0,,Lovely flat in Schmiede Wiedikon,2017-06-22 20:02:48.702986,47.369473,8.519511,0101000020E610000013D38558FD092140A4E029E44AAF4740
6181046,1363,26405020,Entire home/apt,,Zurich,,Kreis 7,14,4.5,4,1.0,,127.0,,Close to old town and lake,2017-06-22 20:02:48.683990,47.363441,8.565882,0101000020E610000047CA1649BB2121404583143C85AE4740
18664973,1363,8863512,Entire home/apt,,Zurich,,Kreis 3,1,0.0,4,2.0,,138.0,,The perfect airbnb home in Zürich (80m2),2017-06-22 20:02:47.421204,47.372125,8.513478,0101000020E6100000546EA296E60621401283C0CAA1AF4740
5635618,1363,6327051,Entire home/apt,,Zurich,,Kreis 1,0,0.0,2,0.0,,139.0,,Beautiful studio in Zurich center ,2017-06-22 20:02:47.411658,47.368156,8.543227,0101000020E6100000BF9B6ED921162140C0E95DBC1FAF4740
19246332,1363,93457336,Entire home/apt,,Zurich,,Kreis 8,0,0.0,4,2.0,,132.0,,Welcoming home in the center of Zurich City,2017-06-22 20:02:46.507860,47.359173,8.561698,0101000020E61000000C7558E1961F2140984D8061F9AD4740
13825478,1363,80881750,Entire home/apt,,Zurich,,Kreis 12,6,4.5,4,2.0,,143.0,,Last-minute offer! 3.5 Room apartment Zürich-90m2,2017-06-22 20:02:46.499167,47.404013,8.557605,0101000020E6100000132C0E677E1D21405514AFB2B6B34740
18993086,1363,1314526,Entire home/apt,,Zurich,,Kreis 8,0,0.0,3,1.0,,134.0,,PABS Résidences - Florastrasse 28 (5L),2017-06-22 20:02:46.486379,47.361962,8.550082,0101000020E61000008E3C1059A4192140873254C554AE4740
19081523,1363,5976839,Entire home/apt,,Zurich,,Kreis 3,0,0.0,4,2.0,,132.0,,"Beautiful 3.5rm apartment, near Idaplatz",2017-06-22 20:02:45.098267,47.377571,8.50989,0101000020E6100000691D554D1005214082751C3F54B04740
7384667,1363,2316695,Entire home/apt,,Zurich,,Kreis 8,3,4.5,3,1.0,,127.0,,Bright Apartment in Seefeld Zürich,2017-06-22 20:02:45.044491,47.356273,8.555165,0101000020E610000087C43D963E1C214052B9895A9AAD4740
5094432,1363,19048937,Entire home/apt,,Zurich,,Kreis 4,5,4.5,3,2.0,,132.0,,Charming & perfectly located 3 1/2 apartment,2017-06-22 20:02:43.211103,47.37795,8.529875,0101000020E61000009EEFA7C64B0F2140F8C264AA60B04740
1179802,1363,3072454,Entire home/apt,,Zurich,,Kreis 4,115,5.0,2,2.0,,126.0,,"Zurich-heart of the city, 2,5 rooms",2017-06-22 20:02:43.206654,47.379287,8.535195,0101000020E610000027F73B14051221402366F6798CB04740
14310894,1363,3797899,Entire home/apt,,Zurich,,Kreis 10,3,5.0,5,3.0,,132.0,,Beautiful penthouse apartment in Zurich,2017-06-22 20:02:43.204332,47.401562,8.498934,0101000020E610000095B9F94674FF20407EA8346266B34740
16263857,1363,13570663,Entire home/apt,,Zurich,,Kreis 1,26,4.5,2,0.0,,128.0,,Boutique  studio at the beautiful oldtown,2017-06-22 20:02:43.180866,47.373088,8.543904,0101000020E6100000C153C8957A162140D943FB58C1AF4740
15151479,1363,50348083,Entire home/apt,,Zurich,,Kreis 3,6,4.5,2,1.0,,106.0,,Swiss Star Aemtlerstrasse - 1.5 room apartment,2017-06-22 20:02:38.396833,47.376767,8.510529,0101000020E6100000B5519D0E64052140249BABE639B04740
15105051,1363,14192946,Entire home/apt,,Zurich,,Kreis 5,10,5.0,3,1.0,,106.0,,Flat in trendy area of Zürich,2017-06-22 20:02:38.382534,47.383651,8.530285,0101000020E6100000641EF983810F2140F209D9791BB14740
8313532,1363,11909526,Entire home/apt,,Zurich,,Kreis 2,0,0.0,2,1.0,,106.0,,Modern & cosy city apartment,2017-06-22 20:02:37.255452,47.339342,8.528336,0101000020E61000005299620E820E21406214048F6FAB4740
16372488,1363,3580507,Entire home/apt,,Zurich,,Kreis 3,0,0.0,3,2.0,,116.0,,Nice apartment close to the center!,2017-06-22 20:02:37.246171,47.371921,8.518684,0101000020E6100000BCEA01F3900921400AD9791B9BAF4740
8711813,1363,19463938,Entire home/apt,,Zurich,,Kreis 8,0,0.0,4,2.0,,105.0,,Beautiful & quiet 4 room by lake,2017-06-22 20:02:37.237492,47.355213,8.555347,0101000020E610000009DD2571561C2140990E9D9E77AD4740
12667266,1363,13260498,Entire home/apt,,Zurich,,Kreis 3,3,4.5,4,1.0,,106.0,,Maisonette-apartment in city-center,2017-06-22 20:02:36.033865,47.360911,8.521583,0101000020E6100000944C4EED0C0B214022E2E65432AE4740
18543647,1363,24194282,Entire home/apt,,Zurich,,Kreis 4,0,0.0,2,1.0,,111.0,,Modern and Central Apartment in Zurich,2017-06-22 20:02:36.019179,47.373603,8.530628,0101000020E61000000CAF2479AE0F214000581D39D2AF4740
8792208,1363,16703823,Entire home/apt,,Zurich,,Kreis 4,4,4.5,2,0.0,,108.0,,▫ STYLED STUDIOS next to Europaallee!,2017-06-22 20:02:36.016548,47.376033,8.532016,0101000020E6100000C1E5B16664102140BF9B6ED921B04740
12958647,1363,7995729,Entire home/apt,,Zurich,,Kreis 8,10,4.0,2,1.0,,106.0,,Cosy apartment next to the lake,2017-06-22 20:02:36.008875,47.361597,8.550272,0101000020E61000001CCF6740BD19214076AA7CCF48AE4740
