LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,RH2M,T2M,PRECTOT
-48.59388,-27.06416,2016,4,29,120,2016-04-29,71.58,14.3,0.05
-48.59388,-27.06416,2016,4,30,121,2016-04-30,68.2,14.69,0.03
-48.59388,-27.06416,2016,5,1,122,2016-05-01,76.45,14.86,0.04
-48.59388,-27.06416,2016,5,2,123,2016-05-02,78.91,16.72,0.04
-48.59388,-27.06416,2016,5,3,124,2016-05-03,78.47,17.51,0
-48.59388,-27.06416,2016,5,4,125,2016-05-04,77.22,18.7,0
-48.59388,-27.06416,2016,5,5,126,2016-05-05,81.14,18.85,0.03
-48.59388,-27.06416,2016,5,6,127,2016-05-06,87.37,18.27,9.24
-48.59388,-27.06416,2016,5,7,128,2016-05-07,89.87,18.95,6.61
-48.59388,-27.06416,2016,5,8,129,2016-05-08,90.17,19.47,0.52
-48.59388,-27.06416,2016,5,9,130,2016-05-09,87.2,20.71,2.27
-48.59388,-27.06416,2016,5,10,131,2016-05-10,85.49,20.3,5.72
-48.59388,-27.06416,2016,5,11,132,2016-05-11,82.32,18.59,1.98
-48.59388,-27.06416,2016,5,12,133,2016-05-12,86.75,17.55,3.19
-48.59388,-27.06416,2016,5,13,134,2016-05-13,83.78,16.82,0.39
-48.59388,-27.06416,2016,5,14,135,2016-05-14,85.8,17.72,0.88
-48.59388,-27.06416,2016,5,15,136,2016-05-15,90.47,18.81,2.69
-48.59388,-27.06416,2016,5,16,137,2016-05-16,79.77,19.39,13
-48.59388,-27.06416,2016,5,17,138,2016-05-17,73.37,14.58,0.91
-48.59388,-27.06416,2016,5,18,139,2016-05-18,68.84,14.22,0.02
-48.59388,-27.06416,2016,5,19,140,2016-05-19,74.37,13.6,0.06
-48.59388,-27.06416,2016,5,20,141,2016-05-20,83.33,15.87,27.1
-48.59388,-27.06416,2016,5,21,142,2016-05-21,82.76,18.75,8.56
-48.59388,-27.06416,2016,5,22,143,2016-05-22,88.99,16.52,18.87
-48.59388,-27.06416,2016,5,23,144,2016-05-23,76.02,14.53,0.24
-48.59388,-27.06416,2016,5,24,145,2016-05-24,82.25,14.68,0.25
-48.59388,-27.06416,2016,5,25,146,2016-05-25,81.13,17.2,0.56
-48.59388,-27.06416,2016,5,26,147,2016-05-26,87.47,18.08,0.31
-48.59388,-27.06416,2016,5,27,148,2016-05-27,90.05,16.31,1.84
-48.59388,-27.06416,2016,5,28,149,2016-05-28,91.63,16.71,2.25
-48.59388,-27.06416,2016,5,29,150,2016-05-29,97.2,17.99,6.52
-48.59388,-27.06416,2016,5,30,151,2016-05-30,84.26,18.22,1.02
-48.59388,-27.06416,2016,5,31,152,2016-05-31,81.73,18.1,0.46
-48.59388,-27.06416,2016,6,1,153,2016-06-01,88.71,15.82,4.37
-48.59388,-27.06416,2016,6,2,154,2016-06-02,79.81,16.08,3.08
-48.59388,-27.06416,2016,6,3,155,2016-06-03,74.75,14.92,0.04
-48.59388,-27.06416,2016,6,4,156,2016-06-04,79.92,14.19,0.4
-48.59388,-27.06416,2016,6,5,157,2016-06-05,80.72,14.55,0.97
-48.59388,-27.06416,2016,6,6,158,2016-06-06,83.83,13.34,1.74
-48.59388,-27.06416,2016,6,7,159,2016-06-07,74.64,12.72,0.14
-48.59388,-27.06416,2016,6,8,160,2016-06-08,74.41,11.01,3.23
-54.99999,-9.99999,2016,4,29,120,2016-04-29,86.03,22.86,1.14
-54.99999,-9.99999,2016,4,30,121,2016-04-30,86.33,23.47,0.23
-54.99999,-9.99999,2016,5,1,122,2016-05-01,85.87,23.44,0
-54.99999,-9.99999,2016,5,2,123,2016-05-02,85.68,24.46,0
-54.99999,-9.99999,2016,5,3,124,2016-05-03,87.93,24.2,2.01
-54.99999,-9.99999,2016,5,4,125,2016-05-04,88,24.03,0.12
-54.99999,-9.99999,2016,5,5,126,2016-05-05,84.97,24.41,0
-54.99999,-9.99999,2016,5,6,127,2016-05-06,88.61,24.81,2.17
-54.99999,-9.99999,2016,5,7,128,2016-05-07,94.4,24.25,5.87
-54.99999,-9.99999,2016,5,8,129,2016-05-08,89.43,24.29,0.46
-54.99999,-9.99999,2016,5,9,130,2016-05-09,89.21,24.7,0
-54.99999,-9.99999,2016,5,10,131,2016-05-10,86.49,25.16,0
-54.99999,-9.99999,2016,5,11,132,2016-05-11,86.97,25.32,0
-54.99999,-9.99999,2016,5,12,133,2016-05-12,83.66,26.1,0
-54.99999,-9.99999,2016,5,13,134,2016-05-13,85.66,26.01,2.02
-54.99999,-9.99999,2016,5,14,135,2016-05-14,85.04,26,0.9
-54.99999,-9.99999,2016,5,15,136,2016-05-15,84,25.84,0.43
-54.99999,-9.99999,2016,5,16,137,2016-05-16,82.33,25.74,0.11
-54.99999,-9.99999,2016,5,17,138,2016-05-17,80.73,25.9,0
-54.99999,-9.99999,2016,5,18,139,2016-05-18,80.49,25.93,0
