country,continent,year,lifeExp,pop,gdpPercap,childMort,co2Emit,healthExp
Afghanistan,Asia,1997,41.763,22227415,635.341351,145.5,1114.666667,NA
Afghanistan,Asia,2002,42.129,25268405,726.7340548,130.3,359.3333333,22.11455733
Afghanistan,Asia,2007,43.828,31889923,974.5803384,113.2,1888.333333,40.35876347
Albania,Europe,1997,72.95,3428038,3193.054604,30.3,1543.666667,156.12029507
Albania,Europe,2002,75.651,3508512,4604.211737,23.6,3747.333333,303.11466743
Albania,Europe,2007,76.423,3600523,5937.029526,18.7,4491.666667,493.88255685
Algeria,Africa,1997,69.152,29072015,4797.295051,41.2,88187,196.12472607
Algeria,Africa,2002,70.994,31287142,5288.040382,37.8,90845.33333,225.20842595
Algeria,Africa,2007,72.301,33333216,6223.367465,30.7,112731.6667,273.05558053
Angola,Africa,1997,40.963,9875024,2277.140884,222.6,7381,48.12840121
Angola,Africa,2002,41.003,10866106,2773.287312,211.7,12664.66667,63.35772644
Angola,Africa,2007,42.731,12420476,4797.231267,196.4,25149.66667,130.93197136
Argentina,Americas,1997,73.275,36203463,10967.28195,22,134665.6667,753.11315408
Argentina,Americas,2002,74.34,38331121,8797.640716,19.2,123255,657.98366894
Argentina,Americas,2007,75.32,40301927,12779.37964,15.8,173572.6667,1124.9788686
Australia,Oceania,1997,78.83,18565243,26997.93657,6.6,333593.3333,1804.00065411
Australia,Oceania,2002,80.37,19546792,30687.75473,6,341366.6667,2543.45006802
Australia,Oceania,2007,81.235,20434176,34435.36744,5.4,381322.3333,3313.79253621
Austria,Europe,1997,77.51,8069876,29095.92066,6,63895.33333,2446.1377219
Austria,Europe,2002,78.98,8148312,32417.60769,5.3,67173.33333,3057.57422803
Austria,Europe,2007,79.829,8199783,36126.4927,4.6,69006.66667,3880.59714278
Bahrain,Asia,1997,73.925,598561,20292.01679,15.2,17317.66667,865.60489828
Bahrain,Asia,2002,74.795,656397,23403.55927,11.8,15697,1027.05179403
Bahrain,Asia,2007,75.635,708573,29796.04834,10,22396,953.97940261
Bangladesh,Asia,1997,59.412,123315288,972.7700352,103.2,25061.66667,9.26703214
Bangladesh,Asia,2002,62.013,135656790,1136.39043,79,33696.66667,10.87360205
Bangladesh,Asia,2007,64.062,150448339,1391.253792,59.4,48477,16.47743078
Belgium,Europe,1997,77.53,10199787,27561.19663,6.7,116284.6667,1852.52772505
Belgium,Europe,2002,78.32,10311970,30485.88375,5.4,107521.3333,2543.14048038
Belgium,Europe,2007,79.441,10392226,33692.60508,4.8,102520,3437.8864163
Benin,Africa,1997,54.777,6066080,1232.975292,153.6,1217.333333,46.95750909
Benin,Africa,2002,54.406,7026113,1372.877931,137.1,2053.333333,53.03333129
Benin,Africa,2007,56.728,8078314,1441.284873,119,4499,67
Bolivia,Americas,1997,62.05,7693188,3326.143191,93.1,9841.333333,130.92995487
Bolivia,Americas,2002,63.883,8445134,3413.26269,72.2,9566.333333,214.80806411
Bolivia,Americas,2007,65.554,9119152,3822.137084,54.9,12873.66667,199.35126137
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,11.6,12499.66667,282.79334416
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,8.3,22942.33333,351.17557986
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,8.2,28981.33333,769.83186486
Botswana,Africa,1997,52.556,1536536,8647.142313,65.5,3212,304.95420104
Botswana,Africa,2002,46.634,1630347,11003.60508,70.4,4484.333333,583.39755828
Botswana,Africa,2007,50.728,1639131,12569.85177,64,4686,1034.14169609
Brazil,Americas,1997,69.388,168546719,7957.980824,40.6,300520,453.73119236
Brazil,Americas,2002,71.006,179914212,8131.212843,27.9,332236.6667,530.3793326
Brazil,Americas,2007,72.39,190010647,9065.800825,19.7,363179.6667,827.94479253
Bulgaria,Europe,1997,70.32,8066057,5970.38876,23.1,51612,256.609812
Bulgaria,Europe,2002,72.14,7661799,7696.777725,19.1,44630.66667,574.6958137
Bulgaria,Europe,2007,73.005,7322858,10680.79282,14.3,52807.33333,841.7393573
Burkina Faso,Africa,1997,50.324,10352843,946.2949618,194,806.6666667,34.10151025
Burkina Faso,Africa,2002,50.65,12251209,1037.645221,178.3,1004.666667,42.16514503
Burkina Faso,Africa,2007,52.295,14326203,1217.032994,139.9,1646.333333,73.15921738
Burundi,Africa,1997,45.326,6121610,463.1151478,164.4,315.3333333,15.89176329
Burundi,Africa,2002,47.36,7021078,446.4035126,143.2,220,23.22514139
Burundi,Africa,2007,49.58,8390505,430.0706916,114.5,176,52.31656801
Cambodia,Asia,1997,56.534,11782962,734.28517,122.5,1906.666667,57.93179356
Cambodia,Asia,2002,56.752,12926707,896.2260153,88.3,2860,79.84893183
Cambodia,Asia,2007,59.723,14131858,1713.778686,55.8,4436.666667,96.3167236
Cameroon,Africa,1997,52.199,14195809,1694.337469,153.5,3215.666667,68.00273614
Cameroon,Africa,2002,49.856,15929988,1934.011449,139.8,3417.333333,86.16057126
Cameroon,Africa,2007,50.43,17696293,2042.09524,117.6,5760.333333,101.20338787
Canada,Americas,1997,78.61,30305843,28954.92589,6.5,483189.6667,2150.18944728
Canada,Americas,2002,79.77,31902268,33328.96507,6.2,519115.6667,2871.07497522
